MES,VIGENTE,VENCIDA
01/08/2016," 2,993 ", 178 
01/09/2016," 3,042 ", 174 
01/10/2016," 3,032 ", 180 
01/11/2016," 3,073 ", 178 
01/12/2016," 3,112 ", 175 
01/01/2017," 3,157 ", 185 
01/02/2017," 3,557 ", 176 
01/03/2017," 3,921 ", 176 
01/04/2017," 4,014 ", 176 
01/05/2017," 4,080 ", 186 
01/06/2017," 4,059 ", 199 
01/07/2017," 4,051 ", 232 
01/08/2017," 4,115 ", 251 
01/09/2017," 4,152 ", 249 
01/10/2017," 4,233 ", 288 
01/11/2017," 4,398 ", 276 
01/12/2017," 4,310 ", 289 
01/01/2018," 4,301 ", 319 
01/02/2018," 4,323 ", 300 
01/03/2018," 4,390 ", 302 
01/04/2018," 4,484 ", 311 
01/05/2018," 4,609 ", 344 
01/06/2018," 4,785 ", 320 
01/07/2018," 4,893 ", 339 
01/08/2018," 5,067 ", 351 
01/09/2018," 5,324 ", 316 
01/10/2018," 5,287 ", 327 
01/11/2018," 6,132 ", 264 
01/12/2018," 6,056 ", 317 
01/01/2019," 6,281 ", 302 
01/02/2019," 6,466 ", 343 
01/03/2019," 6,511 ", 343 
01/04/2019," 6,562 ", 349 
01/05/2019," 6,631 ", 334 
01/06/2019," 6,707 ", 319 
01/07/2019," 6,934 ", 353 
01/08/2019," 7,151 ", 333 
01/09/2019," 7,258 ", 366 
01/10/2019," 7,385 ", 389 
01/11/2019," 7,490 ", 418 
01/12/2019," 7,280 ", 396 
01/01/2020," 7,336 ", 396 
01/02/2020," 7,355 ", 448 
01/03/2020," 7,329 ", 426 
01/04/2020," 7,108 ", 503 
01/05/2020," 7,027 ", 517 
01/06/2020," 6,982 ", 498 
01/07/2020," 6,917 ", 452 
01/08/2020," 6,895 ", 396 
01/09/2020," 6,804 ", 347 
01/10/2020," 6,736 ", 386 
01/11/2020," 6,595 ", 626 
01/12/2020," 6,190 ", 855 
01/01/2021," 5,877 "," 1,130 "
01/02/2021," 5,628 "," 1,289 "
01/03/2021," 5,506 "," 1,273 "
01/04/2021," 5,400 "," 1,146 "
01/05/2021," 5,321 ", 995 
01/06/2021," 5,268 ", 879 
01/07/2021," 4,676 ", 744 
01/08/2021," 4,654 ", 640 
01/09/2021," 4,659 ", 588 
01/10/2021," 4,648 ", 567 
01/11/2021," 4,688 ", 505 
01/12/2021," 4,586 ", 478 
01/01/2022," 4,609 ", 420 
01/02/2022," 4,645 ", 382 
01/03/2022," 4,578 ", 315 
01/04/2022," 4,537 ", 294 
01/05/2022," 4,540 ", 277 
01/06/2022," 5,225 ", 313 
01/07/2022," 5,237 ", 308 
01/08/2022," 5,202 ", 287 
01/09/2022," 5,153 ", 277 
01/10/2022," 5,094 ", 263 
01/11/2022," 5,034 ", 256 
01/12/2022," 4,848 ", 243 
01/01/2023," 4,829 ", 219 
