PERIODO,INGRESO,CONSUMO
15/03/1993,9620301,1017863
15/06/1993,9701626,1045795
15/09/1993,9696707,1057048
15/12/1993,9770888,1082485
15/03/1994,9934139,1125996
15/06/1994,10139003,1170819
15/09/1994,10150175,1191911
15/12/1994,10242531,1222640
15/03/1995,9780413,1284633
15/06/1995,9606105,1383579
15/09/1995,9546751,1452399
15/12/1995,9610079,1530789
15/03/1996,10019722,1854168
15/06/1996,10097582,1927267
15/09/1996,10126039,1992539
15/12/1996,10263772,2088545
15/03/1997,10447635,2355535
15/06/1997,10736798,2480766
15/09/1997,10812833,2545628
15/12/1997,10964286,2642800
15/03/1998,11371933,2921015
15/06/1998,11473822,3028706
15/09/1998,11488537,3106203
15/12/1998,11534537,3206966
15/03/1999,11634748,3568603
15/06/1999,11735711,3685106
15/09/1999,11772546,3762939
15/12/1999,11845213,3860652
15/03/2000,12242138,4201646
15/06/2000,12376358,4343539
15/09/2000,12417667,4438533
15/12/2000,12444503,4547571
15/03/2001,12292304,4672784
15/06/2001,12379808,4761032
15/09/2001,12375094,4798116
15/12/2001,12387981,4870800
15/03/2002,11939521,4840360
15/06/2002,12274239,5032875
15/09/2002,12312313,5105466
15/12/2002,12379673,5193620
15/03/2003,12324823,5256504
15/06/2003,12500533,5369992
15/09/2003,12482638,5424697
15/12/2003,12559105,5526039
15/03/2004,12749887,5640660
15/06/2004,12975367,5797908
15/09/2004,12952906,5893961
15/12/2004,13050687,6031744
15/03/2005,12837092,6177120
15/06/2005,13195759,6376825
15/09/2005,13210673,6464254
15/12/2005,13347722,6562653
15/03/2006,13550926,6750432
15/06/2006,13830885,6945783
15/09/2006,13837967,7034547
15/12/2006,13931384,7150744
15/03/2007,13824746,7344910
15/06/2007,14108358,7518136
15/09/2007,14133422,7606992
15/12/2007,14254464,7726774
15/03/2008,13979664,7929738
15/06/2008,14367592,8170044
15/09/2008,14365031,8221562
15/12/2008,14402757,8268755
15/03/2009,13207755,7728366
15/06/2009,13336442,7760729
15/09/2009,13440136,7855241
15/12/2009,13648547,8006570
15/03/2010,13807173,8191113
15/06/2010,14103464,8404841
15/09/2010,14174822,8546949
15/12/2010,14352401,8734844
15/03/2011,14312973,8970012
15/06/2011,14554576,9150757
15/09/2011,14670120,9312688
15/12/2011,14875797,9504275
15/03/2012,15010362,9897366
15/06/2012,15207034,9971350
15/09/2012,15244083,10078953
15/12/2012,15430993,10237973
15/03/2013,15113185,10319710
15/06/2013,15420479,10517268
15/09/2013,15461088,10637458
15/12/2013,15642620,10819251
15/03/2014,15517906,11013157
15/06/2014,15797275,11195228
15/09/2014,15856005,11324120
15/12/2014,16067158,11515261
15/03/2015,16042675,11617450
15/06/2015,16301373,11724827
15/09/2015,16403609,11905768
15/12/2015,16579414,12148383
15/03/2016,16447598,12491129
15/06/2016,16737562,12662283
15/09/2016,16775021,12879894
15/12/2016,16982550,13189005
15/03/2017,16998854,13829962
15/06/2017,17147549,13946344
15/09/2017,17132675,14065994
15/12/2017,17329809,14305262
15/03/2018,17238607,14648161
15/06/2018,17549494,14917107
15/09/2018,17559435,15046689
15/12/2018,17701265,15238385
15/03/2019,17436709,15252597
15/06/2019,17549142,15467121
15/09/2019,17549821,15673316
15/12/2019,17666059,15866448
15/03/2020,17311883,15816732
15/06/2020,15859495,14263508
15/09/2020,15948011,14403671
15/12/2020,16283976,14772424
15/03/2021,16680434,15952444
15/06/2021,16981055,16377780
15/09/2021,16925483,16583286
15/12/2021,17054253,16981707
